ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
2,Nicaragua,"DEN 2,3",2015,Out,53,8.275554474,0.030409926,0.03,4082,15,52,788.33,6257,15,49326
6,Jamaica,"DEN 2,3",2019,Out,53,1.81336863,0.039708802,0.318,137,24,52,260.61,2899,3,7555
6,"Bonaire, Saint Eustatius and Saba",  ,2022,Out,53,,,,,,-,,26,,
5,Puerto Rico,"DEN 1,2",2021,Out,53,90.09433962,11.94968554,0.314,573,2,52,22.49,2828,76,636
4,Argentina,"DEN 1,2,4",2021,Out,53,100,0,0,3972,0,52,8.71,45606,0,3972
3,Colombia,"DEN 1,2,3,4",2020,Out,53,22.032439,1.135744945,0.07,17401,55,53,159.67,49465,897,78979
2,Guatemala,"DEN 1,2,3,4",2020,Out,53,14.50777202,0.300852415,0.167,868,10,53,34.69,17245,18,5983
6,Saint Kitts and Nevis,  ,2021,Out,53,,,,0,0,48,0,54,0,0
6,Saint Vincent and the Grenadines,  ,2021,Out,53,100,0,0,152,0,52,150.5,101,0,152
6,Jamaica,  ,2022,Out,53,0,0,0,0,0,52,3.36,2973,0,100
6,Martinique,  ,2022,Out,53,2.777777778,0,0,10,0,49,96,375,0,360
2,Guatemala,"DEN 1,2,3,4",2014,Out,53,9.541849775,0.585947366,0.066,1889,13,53,124.82,15860,116,19797
6,Curaçao,  ,2015,Out,53,,,,0,0,49,0,150,0,0
2,Nicaragua,DEN 2,2018,Out,53,3.5798182,,0.01,2103,6,52,934.7,6285,,58746
6,Saint Vincent and the Grenadines,  ,2018,Out,53,100,0,0,4,0,52,3.64,110,0,4
6,Guadeloupe,  ,2022,Out,53,3.670886076,0,0,29,0,49,197.5,400,0,790
6,Saint Vincent and the Grenadines,  ,2024,Out,53,100,0,0,2,0,12,1.98,101,0,2
6,Bermuda,  ,2023,Out,53,100,0,0,1,0,48,1.39,72,0,1
6,Virgin Islands (US),  ,2024,Out,53,,,,0,0,17,0,106,0,0
4,Paraguay,"DEN 1,2",2024,Out,53,12.92756797,0,0.028,32824,70,17,"3,361.23",7554,0,253907
3,Ecuador,"DEN 1,4",2017,Out,53,100,0.158074998,0.035,11387,4,52,68.49,16625,18,11387
6,Bermuda,  ,2020,Out,53,,,,0,0,53,0,71,0,0
2,Costa Rica,"DEN 1,2,3",2015,Out,53,0,0.034494653,0,0,0,52,347.74,5002,6,17394
6,Anguilla,  ,2017,Out,53,9.090909091,0,,2,,52,129.41,17,0,22
6,Saint Martin,  ,2017,Out,53,0,0,0,0,0,46,615.63,32,0,197
6,French Guiana,"DEN 1,2,4",2014,Out,53,66.18644068,0.593220339,0,781,0,47,462.75,255,7,1180
1,Canada,  ,2018,Out,53,,,,0,0,52,,0,0,0
6,Grenada,DEN 1,2016,Out,53,50.33112583,0,0,76,0,52,136.04,111,0,151
2,Costa Rica,"DEN 1,2",2018,Out,53,9.689213894,0,0,265,0,52,55.22,4953,0,2735
6,Sint Maarten,  ,2022,Out,53,,,,,,-,,45,,
3,Andean Subregion,  ,2017,In,53,36.49373201,0.70829081,0.086,47917,113,-,93.2,140885,930,131302
5,Latin Caribbean,  ,2021,In,53,11.58426561,4.853843378,0.505,642,28,-,22.08,25099,269,5542
3,Andean Subregion,  ,2020,In,53,24.88157986,0.65730035,0.075,68024,204,-,191.88,142477,1797,273391
5,Latin Caribbean,  ,2024,In,53,17.80533458,1.251754796,0,1522,0,-,62.02,13782,107,8548
1,North America,  ,2014,In,53,100,0,0,668,0,-,0.21,322583,0,668
4,Southern Cone,  ,2024,In,53,43.03525036,0.06309751,0.039,2630642,2372,-,"2,108.94",289850,3857,6112761
